name	init_mem	expected_mem	a_base	b_base	c_base	m	n	k	exp_status
directed_000	directed_000_init.mem	directed_000_expected.mem	00000080	00000090	000000a0	1	1	1	00000002
directed_001	directed_001_init.mem	directed_001_expected.mem	00000080	00000090	000000a0	1	1	1	00000002
directed_002	directed_002_init.mem	directed_002_expected.mem	00000080	00000090	000000a0	1	1	1	00000002
directed_003	directed_003_init.mem	directed_003_expected.mem	00000080	00000090	000000a0	2	2	2	00000002
directed_004	directed_004_init.mem	directed_004_expected.mem	00000080	00000090	000000a0	2	2	2	00000002
directed_005	directed_005_init.mem	directed_005_expected.mem	00000080	00000090	000000a0	3	3	3	00000002
directed_006	directed_006_init.mem	directed_006_expected.mem	00000080	00000090	000000a0	4	4	4	00000002
directed_007	directed_007_init.mem	directed_007_expected.mem	00000080	00000090	000000a0	1	1	4	00000002
directed_008	directed_008_init.mem	directed_008_expected.mem	00000080	00000090	000000a0	4	4	1	00000002
directed_009	directed_009_init.mem	directed_009_expected.mem	00000080	00000090	000000a0	2	2	3	00000002
directed_010	directed_010_init.mem	directed_010_expected.mem	00000080	00000090	000000a0	3	4	2	00000002
directed_011	directed_011_init.mem	directed_011_expected.mem	00000080	00000090	000000a0	4	2	1	00000002
directed_012	directed_012_init.mem	directed_012_expected.mem	00000080	00000090	000000a0	3	2	2	00000002
directed_013	directed_013_init.mem	directed_013_expected.mem	00000080	00000090	000000a0	2	2	3	00000002
directed_014	directed_014_init.mem	directed_014_expected.mem	00000080	00000090	000000a0	2	2	4	00000002
directed_015	directed_015_init.mem	directed_015_expected.mem	00000080	00000090	000000a0	2	1	4	00000002
directed_016	directed_016_init.mem	directed_016_expected.mem	00000080	00000090	000000a0	2	2	4	00000002
directed_017	directed_017_init.mem	directed_017_expected.mem	00000080	00000090	000000a0	2	3	4	00000002
directed_018	directed_018_init.mem	directed_018_expected.mem	00000080	00000090	000000a0	2	4	3	00000002
directed_019	directed_019_init.mem	directed_019_expected.mem	00000080	00000090	000000a0	1	1	4	00000002
directed_020	directed_020_init.mem	directed_020_expected.mem	00000080	00000090	000000a0	1	1	4	00000002
directed_021	directed_021_init.mem	directed_021_expected.mem	00000080	00000090	000000a0	1	1	4	00000002
directed_022	directed_022_init.mem	directed_022_expected.mem	00000080	00000090	000000a0	4	4	4	00000002
directed_023	directed_023_init.mem	directed_023_expected.mem	00000080	00000090	000000a0	4	4	4	00000002
directed_024	directed_024_init.mem	directed_024_expected.mem	00000080	00000084	00000088	1	1	4	00000002
directed_025	directed_025_init.mem	directed_025_expected.mem	00000080	00000090	00000fe0	4	4	4	00000002
directed_026	directed_026_init.mem	directed_026_expected.mem	00000080	00000084	00000088	4	4	4	00000002
directed_027	directed_027_init.mem	directed_027_expected.mem	00000100	00000110	00000080	2	2	4	00000002
directed_028	directed_028_init.mem	directed_028_expected.mem	00000000	00000000	00000000	0	1	1	0000000e
directed_029	directed_029_init.mem	directed_029_expected.mem	00000000	00000000	00000000	1	0	1	0000000e
directed_030	directed_030_init.mem	directed_030_expected.mem	00000000	00000000	00000000	1	1	0	0000000e
directed_031	directed_031_init.mem	directed_031_expected.mem	00000000	00000000	00000000	5	1	1	0000000e
directed_032	directed_032_init.mem	directed_032_expected.mem	00000000	00000000	00000000	1	5	1	0000000e
directed_033	directed_033_init.mem	directed_033_expected.mem	00000000	00000000	00000000	1	1	5	0000000e
directed_034	directed_034_init.mem	directed_034_expected.mem	00000000	00000000	00000000	8	1	1	0000000e
directed_035	directed_035_init.mem	directed_035_expected.mem	00000000	00000000	00000000	1	8	1	0000000e
directed_036	directed_036_init.mem	directed_036_expected.mem	00000000	00000000	00000000	1	1	8	0000000e
directed_037	directed_037_init.mem	directed_037_expected.mem	00000000	00000000	00000000	9	1	1	0000000e
directed_038	directed_038_init.mem	directed_038_expected.mem	00000000	00000000	00000000	1	9	1	0000000e
directed_039	directed_039_init.mem	directed_039_expected.mem	00000000	00000000	00000000	1	1	9	0000000e
directed_040	directed_040_init.mem	directed_040_expected.mem	00000000	00000000	00000000	10	1	1	0000000e
directed_041	directed_041_init.mem	directed_041_expected.mem	00000000	00000000	00000000	1	10	1	0000000e
directed_042	directed_042_init.mem	directed_042_expected.mem	00000000	00000000	00000000	1	1	10	0000000e
directed_043	directed_043_init.mem	directed_043_expected.mem	00000000	00000000	00000000	11	1	1	0000000e
directed_044	directed_044_init.mem	directed_044_expected.mem	00000000	00000000	00000000	1	11	1	0000000e
directed_045	directed_045_init.mem	directed_045_expected.mem	00000000	00000000	00000000	1	1	11	0000000e
directed_046	directed_046_init.mem	directed_046_expected.mem	00000000	00000000	00000000	12	1	1	0000000e
directed_047	directed_047_init.mem	directed_047_expected.mem	00000000	00000000	00000000	1	12	1	0000000e
directed_048	directed_048_init.mem	directed_048_expected.mem	00000000	00000000	00000000	1	1	12	0000000e
directed_049	directed_049_init.mem	directed_049_expected.mem	00000000	00000000	00000000	0	0	0	0000000e
directed_050	directed_050_init.mem	directed_050_expected.mem	00000000	00000000	00000000	5	5	5	0000000e
directed_051	directed_051_init.mem	directed_051_expected.mem	00000000	00000000	00000000	9	9	9	0000000e
directed_052	directed_052_init.mem	directed_052_expected.mem	00000000	00000000	00000000	9	10	12	0000000e
directed_053	directed_053_init.mem	directed_053_expected.mem	00000000	00000000	00000000	257	1	1	0000000e
directed_054	directed_054_init.mem	directed_054_expected.mem	00000000	00000000	00000000	1	258	1	0000000e
directed_055	directed_055_init.mem	directed_055_expected.mem	00000000	00000000	00000000	1	1	260	0000000e
