name	init_mem	expected_mem	a_base	b_base	c_base	m	n	k	exp_status
directed_000	directed_000_init.mem	directed_000_expected.mem	00000080	00000090	000000a0	1	1	1	00000002
directed_001	directed_001_init.mem	directed_001_expected.mem	00000080	00000090	000000a0	1	1	1	00000002
directed_002	directed_002_init.mem	directed_002_expected.mem	00000080	00000090	000000a0	1	1	1	00000002
directed_003	directed_003_init.mem	directed_003_expected.mem	00000080	00000090	000000a0	2	2	2	00000002
directed_004	directed_004_init.mem	directed_004_expected.mem	00000080	00000090	000000a0	2	2	2	00000002
directed_005	directed_005_init.mem	directed_005_expected.mem	00000080	00000090	000000a0	3	3	3	00000002
directed_006	directed_006_init.mem	directed_006_expected.mem	00000080	00000090	000000a0	4	4	4	00000002
directed_007	directed_007_init.mem	directed_007_expected.mem	00000080	00000090	000000a0	1	1	4	00000002
directed_008	directed_008_init.mem	directed_008_expected.mem	00000080	00000090	000000a0	4	4	1	00000002
directed_009	directed_009_init.mem	directed_009_expected.mem	00000080	00000090	000000a0	2	2	3	00000002
directed_010	directed_010_init.mem	directed_010_expected.mem	00000080	00000090	000000a0	3	4	2	00000002
directed_011	directed_011_init.mem	directed_011_expected.mem	00000080	00000090	000000a0	4	2	1	00000002
directed_012	directed_012_init.mem	directed_012_expected.mem	00000080	00000090	000000a0	3	2	2	00000002
directed_013	directed_013_init.mem	directed_013_expected.mem	00000080	00000090	000000a0	2	2	3	00000002
directed_014	directed_014_init.mem	directed_014_expected.mem	00000080	00000090	000000a0	2	2	4	00000002
directed_015	directed_015_init.mem	directed_015_expected.mem	00000080	00000090	000000a0	2	1	4	00000002
directed_016	directed_016_init.mem	directed_016_expected.mem	00000080	00000090	000000a0	2	2	4	00000002
directed_017	directed_017_init.mem	directed_017_expected.mem	00000080	00000090	000000a0	2	3	4	00000002
directed_018	directed_018_init.mem	directed_018_expected.mem	00000080	00000090	000000a0	2	4	3	00000002
directed_019	directed_019_init.mem	directed_019_expected.mem	00000080	00000090	000000a0	1	1	4	00000002
directed_020	directed_020_init.mem	directed_020_expected.mem	00000080	00000090	000000a0	1	1	4	00000002
directed_021	directed_021_init.mem	directed_021_expected.mem	00000080	00000090	000000a0	1	1	4	00000002
directed_022	directed_022_init.mem	directed_022_expected.mem	00000080	00000090	000000a0	4	4	4	00000002
directed_023	directed_023_init.mem	directed_023_expected.mem	00000080	00000090	000000a0	4	4	4	00000002
directed_024	directed_024_init.mem	directed_024_expected.mem	00000080	00000084	00000088	1	1	4	00000002
directed_025	directed_025_init.mem	directed_025_expected.mem	00000080	00000090	00000fe0	4	4	4	00000002
directed_026	directed_026_init.mem	directed_026_expected.mem	00000080	00000084	00000088	4	4	4	00000002
directed_027	directed_027_init.mem	directed_027_expected.mem	00000100	00000110	00000080	2	2	4	00000002
directed_028	directed_028_init.mem	directed_028_expected.mem	00000000	00000000	00000000	0	1	1	0000000e
directed_029	directed_029_init.mem	directed_029_expected.mem	00000000	00000000	00000000	1	0	1	0000000e
directed_030	directed_030_init.mem	directed_030_expected.mem	00000000	00000000	00000000	1	1	0	0000000e
directed_031	directed_031_init.mem	directed_031_expected.mem	00000000	00000000	00000000	5	1	1	0000000e
directed_032	directed_032_init.mem	directed_032_expected.mem	00000000	00000000	00000000	1	5	1	0000000e
directed_033	directed_033_init.mem	directed_033_expected.mem	00000000	00000000	00000000	1	1	5	0000000e
directed_034	directed_034_init.mem	directed_034_expected.mem	00000000	00000000	00000000	8	1	1	0000000e
directed_035	directed_035_init.mem	directed_035_expected.mem	00000000	00000000	00000000	1	8	1	0000000e
directed_036	directed_036_init.mem	directed_036_expected.mem	00000000	00000000	00000000	1	1	8	0000000e
directed_037	directed_037_init.mem	directed_037_expected.mem	00000000	00000000	00000000	9	1	1	0000000e
directed_038	directed_038_init.mem	directed_038_expected.mem	00000000	00000000	00000000	1	9	1	0000000e
directed_039	directed_039_init.mem	directed_039_expected.mem	00000000	00000000	00000000	1	1	9	0000000e
directed_040	directed_040_init.mem	directed_040_expected.mem	00000000	00000000	00000000	10	1	1	0000000e
directed_041	directed_041_init.mem	directed_041_expected.mem	00000000	00000000	00000000	1	10	1	0000000e
directed_042	directed_042_init.mem	directed_042_expected.mem	00000000	00000000	00000000	1	1	10	0000000e
directed_043	directed_043_init.mem	directed_043_expected.mem	00000000	00000000	00000000	11	1	1	0000000e
directed_044	directed_044_init.mem	directed_044_expected.mem	00000000	00000000	00000000	1	11	1	0000000e
directed_045	directed_045_init.mem	directed_045_expected.mem	00000000	00000000	00000000	1	1	11	0000000e
directed_046	directed_046_init.mem	directed_046_expected.mem	00000000	00000000	00000000	12	1	1	0000000e
directed_047	directed_047_init.mem	directed_047_expected.mem	00000000	00000000	00000000	1	12	1	0000000e
directed_048	directed_048_init.mem	directed_048_expected.mem	00000000	00000000	00000000	1	1	12	0000000e
directed_049	directed_049_init.mem	directed_049_expected.mem	00000000	00000000	00000000	0	0	0	0000000e
directed_050	directed_050_init.mem	directed_050_expected.mem	00000000	00000000	00000000	5	5	5	0000000e
directed_051	directed_051_init.mem	directed_051_expected.mem	00000000	00000000	00000000	9	9	9	0000000e
directed_052	directed_052_init.mem	directed_052_expected.mem	00000000	00000000	00000000	9	10	12	0000000e
directed_053	directed_053_init.mem	directed_053_expected.mem	00000000	00000000	00000000	257	1	1	0000000e
directed_054	directed_054_init.mem	directed_054_expected.mem	00000000	00000000	00000000	1	258	1	0000000e
directed_055	directed_055_init.mem	directed_055_expected.mem	00000000	00000000	00000000	1	1	260	0000000e
random_000	random_000_init.mem	random_000_expected.mem	00000590	000000b7	00000d98	4	2	1	00000002
random_001	random_001_init.mem	random_001_expected.mem	00000a26	0000091d	0000039e	3	1	4	00000002
random_002	random_002_init.mem	random_002_expected.mem	00000e97	00000616	0000080e	2	4	2	00000002
random_003	random_003_init.mem	random_003_expected.mem	00000e6e	00000c8b	0000018c	4	3	2	00000002
random_004	random_004_init.mem	random_004_expected.mem	00000387	0000052b	0000098e	4	1	2	00000002
random_005	random_005_init.mem	random_005_expected.mem	000007f1	000007ab	00000cf2	2	3	1	00000002
random_006	random_006_init.mem	random_006_expected.mem	00000570	000007b7	00000441	1	4	4	00000002
random_007	random_007_init.mem	random_007_expected.mem	0000046b	00000a8b	0000054f	4	2	4	00000002
random_008	random_008_init.mem	random_008_expected.mem	000009a3	00000707	000006b5	2	1	1	00000002
random_009	random_009_init.mem	random_009_expected.mem	00000ab9	00000b82	000007ce	4	1	4	00000002
random_010	random_010_init.mem	random_010_expected.mem	00000e62	000003f6	000006ab	2	2	3	00000002
random_011	random_011_init.mem	random_011_expected.mem	0000075c	000004b7	00000644	2	3	4	00000002
random_012	random_012_init.mem	random_012_expected.mem	00000350	00000dd0	00000c43	2	1	1	00000002
random_013	random_013_init.mem	random_013_expected.mem	00000084	0000083a	000005d6	3	4	3	00000002
random_014	random_014_init.mem	random_014_expected.mem	000007d8	000002fd	00000832	4	3	2	00000002
random_015	random_015_init.mem	random_015_expected.mem	00000e36	00000dc2	00000e73	2	1	4	00000002
random_016	random_016_init.mem	random_016_expected.mem	00000e5d	00000754	000001b5	1	1	3	00000002
random_017	random_017_init.mem	random_017_expected.mem	00000509	000002f6	00000344	4	3	3	00000002
random_018	random_018_init.mem	random_018_expected.mem	00000c99	000009d5	00000422	4	3	4	00000002
random_019	random_019_init.mem	random_019_expected.mem	00000dcd	00000176	0000087d	2	1	3	00000002
random_020	random_020_init.mem	random_020_expected.mem	00000a14	00000c0a	00000d54	3	3	1	00000002
random_021	random_021_init.mem	random_021_expected.mem	00000de3	000006ac	00000b4c	2	2	3	00000002
random_022	random_022_init.mem	random_022_expected.mem	00000193	00000131	00000247	1	4	3	00000002
random_023	random_023_init.mem	random_023_expected.mem	00000f15	000001f5	00000156	4	2	1	00000002
random_024	random_024_init.mem	random_024_expected.mem	00000d1d	00000537	00000beb	4	1	4	00000002
random_025	random_025_init.mem	random_025_expected.mem	00000f38	00000664	00000fba	4	2	4	00000002
random_026	random_026_init.mem	random_026_expected.mem	00000af9	00000d12	00000184	2	2	3	00000002
random_027	random_027_init.mem	random_027_expected.mem	000000a2	0000064c	00000b9f	4	3	2	00000002
random_028	random_028_init.mem	random_028_expected.mem	00000085	00000efb	00000830	3	3	3	00000002
random_029	random_029_init.mem	random_029_expected.mem	00000534	00000a79	000006e2	3	4	1	00000002
random_030	random_030_init.mem	random_030_expected.mem	00000feb	00000dbf	000005ee	3	3	2	00000002
random_031	random_031_init.mem	random_031_expected.mem	00000bae	00000ec8	0000051a	3	1	2	00000002
random_032	random_032_init.mem	random_032_expected.mem	00000165	00000c9f	0000013d	2	1	3	00000002
random_033	random_033_init.mem	random_033_expected.mem	00000163	00000b55	00000bb6	1	1	1	00000002
random_034	random_034_init.mem	random_034_expected.mem	000007c0	00000781	000000bf	1	3	2	00000002
random_035	random_035_init.mem	random_035_expected.mem	00000d60	0000057a	00000507	1	3	3	00000002
random_036	random_036_init.mem	random_036_expected.mem	00000110	00000e6b	00000b50	4	3	3	00000002
random_037	random_037_init.mem	random_037_expected.mem	00000f6f	00000828	00000d04	4	4	4	00000002
random_038	random_038_init.mem	random_038_expected.mem	00000b92	00000d66	000005d6	1	4	3	00000002
random_039	random_039_init.mem	random_039_expected.mem	00000e4b	00000926	0000065d	3	1	1	00000002
random_040	random_040_init.mem	random_040_expected.mem	00000bfb	00000b47	00000b3e	2	3	3	00000002
random_041	random_041_init.mem	random_041_expected.mem	00000fd0	00000452	00000f44	4	4	4	00000002
random_042	random_042_init.mem	random_042_expected.mem	00000fdf	00000d83	00000a5a	4	1	3	00000002
random_043	random_043_init.mem	random_043_expected.mem	00000e70	0000040f	00000c4c	4	2	1	00000002
random_044	random_044_init.mem	random_044_expected.mem	00000b4d	00000f3d	00000dee	3	1	4	00000002
random_045	random_045_init.mem	random_045_expected.mem	00000e80	00000eaf	000006a0	2	1	3	00000002
random_046	random_046_init.mem	random_046_expected.mem	00000b01	00000ab2	000008f3	4	4	2	00000002
random_047	random_047_init.mem	random_047_expected.mem	00000f6c	000003e6	00000b94	2	4	1	00000002
random_048	random_048_init.mem	random_048_expected.mem	00000534	000009a7	00000307	3	3	4	00000002
random_049	random_049_init.mem	random_049_expected.mem	000004db	00000e53	00000c0e	1	3	2	00000002
random_050	random_050_init.mem	random_050_expected.mem	000008f8	00000a6d	00000ae5	4	4	0	0000000e
random_051	random_051_init.mem	random_051_expected.mem	00000128	00000f26	000006d1	3	5	4	0000000e
random_052	random_052_init.mem	random_052_expected.mem	0000015d	00000bb8	00000c9f	4	0	4	0000000e
random_053	random_053_init.mem	random_053_expected.mem	00000557	000009b9	00000410	2	0	1	0000000e
random_054	random_054_init.mem	random_054_expected.mem	000001ae	00000bcd	00000cff	1	0	1	0000000e
